Plak No;Gün No;Tarih;Gün;Toplam Süre
16;153;2025-09-18;Perşembe;01:13
16;154;2025-09-19;Cuma;02:37
16;155;2025-09-20;Cumartesi;02:30
16;156;2025-09-21;Pazar;01:35
16;157;2025-09-22;Pazartesi;01:11
16;158;2025-09-23;Salı;01:34
16;159;2025-09-24;Çarşamba;02:03
16;160;2025-09-25;Perşembe;01:51
16;161;2025-09-26;Cuma;02:35
17;162;2025-09-27;Cumartesi;02:35
17;163;2025-09-28;Pazar;02:29
17;164;2025-09-29;Pazartesi;01:05
17;165;2025-09-30;Salı;01:20
17;166;2025-10-01;Çarşamba;01:35
17;167;2025-10-02;Perşembe;02:00
17;168;2025-10-03;Cuma;01:15
17;169;2025-10-04;Cumartesi;01:02
17;170;2025-10-05;Pazar;01:10
17;171;2025-10-06;Pazartesi;01:59
18;172;2025-10-07;Salı;01:51
18;173;2025-10-08;Çarşamba;00:43
18;174;2025-10-09;Perşembe;02:40
